timestamp,elapsed_time,cpu_percent,gpu_percent,memory_mb,memory_percent,memory_available_mb,gpu_freq_mhz,ollama_cpu_percent,ollama_memory_mb,model,prompt_id
2025-06-08T15:49:02.104996,0.020498,14.7,0.0,61583.375,50.7,64560.015625,0,0.3,145.140625,mistral:7b,-1
2025-06-08T15:49:02.206187,0.121689,13.8,0.0,61583.375,50.7,64560.015625,0,4.5,145.21875,mistral:7b,-1
2025-06-08T15:49:02.311403,0.226905,14.4,0.0,61583.375,50.7,64560.015625,0,1.4,145.265625,mistral:7b,-1
2025-06-08T15:49:02.411781,0.327283,16.8,0.0,61583.375,50.7,64560.015625,0,0.0,145.265625,mistral:7b,-1
2025-06-08T15:49:02.517024,0.432526,0.0,0.0,61583.375,50.7,64560.015625,0,1.6,145.328125,mistral:7b,-1
2025-06-08T15:49:02.622345,0.537847,0.0,0.0,61583.375,50.7,64560.015625,0,1.3,145.421875,mistral:7b,-1
2025-06-08T15:49:02.727680,0.643182,15.1,0.0,61158.875,50.4,64987.5625,0,0.3,145.4375,mistral:7b,-1
2025-06-08T15:49:02.832932,0.748434,15.3,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:02.934932,0.850434,8.6,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:03.039333,0.954835,0.0,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:03.144601,1.060103,0.0,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:03.249839,1.165341,0.0,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:03.355286,1.270788,0.0,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:03.456043,1.371545,0.0,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:03.556441,1.471943,0.0,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:03.661793,1.577295,0.0,0.0,65016.796875,53.4,61131.34375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:03.767146,1.682648,8.9,0.0,64421.640625,52.9,61726.171875,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:05.918410,0.036705,9.7,0.0,61337.171875,50.6,64807.875,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:06.023569,0.141864,14.5,0.0,61226.109375,50.5,64913.015625,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:06.129053,0.247348,0.0,0.0,62473.21875,51.4,63667.484375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:06.233125,0.35142,0.0,0.0,62473.21875,51.4,63667.484375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:06.338497,0.456792,0.0,0.0,62473.21875,51.4,63667.484375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:06.443875,0.56217,0.0,0.0,62473.21875,51.4,63667.484375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:06.547437,0.665732,0.0,0.0,62473.21875,51.4,63667.484375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:06.648760,0.767055,0.0,0.0,62473.21875,51.4,63667.484375,0,0.0,145.4375,mistral:7b,-1
2025-06-08T15:49:06.751427,0.869722,0.0,0.0,62473.21875,51.4,63667.484375,0,0.0,145.4375,mistral:7b,-1
