timestamp,elapsed_time,cpu_percent,gpu_percent,memory_mb,memory_percent,memory_available_mb,gpu_freq_mhz,ollama_cpu_percent,ollama_memory_mb,model,prompt_id
2025-06-08T14:45:12.191620,0.026453,0.0,0.0,60718.5,50.1,65372.546875,0,0.0,141.9375,deepseek-r1:7b,-1
2025-06-08T14:45:12.294912,0.129745,0.0,0.0,60720.0625,50.1,65371.546875,0,1.3,141.984375,deepseek-r1:7b,-1
2025-06-08T14:45:12.400141,0.234974,0.0,0.0,60720.0625,50.1,65371.546875,0,1.6,142.09375,deepseek-r1:7b,-1
2025-06-08T14:45:12.500961,0.335794,0.0,0.0,60720.0625,50.1,65371.546875,0,0.7,142.140625,deepseek-r1:7b,-1
2025-06-08T14:45:12.606304,0.441137,0.0,0.0,60720.0625,50.1,65371.546875,0,0.6,142.203125,deepseek-r1:7b,-1
2025-06-08T14:45:12.711679,0.546512,0.0,0.0,60720.0625,50.1,65371.546875,0,0.2,142.203125,deepseek-r1:7b,-1
2025-06-08T14:45:12.813727,0.64856,0.0,0.0,60720.0625,50.1,65371.546875,0,2.0,142.34375,deepseek-r1:7b,-1
2025-06-08T14:45:12.919096,0.753929,0.0,0.0,60720.0625,50.1,65371.546875,0,0.4,142.359375,deepseek-r1:7b,-1
2025-06-08T14:45:13.024486,0.859319,0.0,0.0,60720.0625,50.1,65371.546875,0,0.0,142.359375,deepseek-r1:7b,-1
2025-06-08T14:45:13.129659,0.964492,0.0,0.0,60720.0625,50.1,65371.546875,0,0.0,142.359375,deepseek-r1:7b,-1
2025-06-08T14:45:13.235146,1.069979,13.2,0.0,62023.796875,51.1,64073.21875,0,0.0,142.359375,deepseek-r1:7b,-1
2025-06-08T14:45:13.336933,1.171766,10.0,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:13.441752,1.276585,15.4,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:13.546138,1.380971,13.9,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:13.651366,1.486199,7.7,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:13.753722,1.588555,9.6,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:13.859104,1.693937,9.4,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:13.964474,1.799307,14.6,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:14.066412,1.901245,11.6,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:14.171685,2.006518,0.0,0.0,62022.59375,51.1,64070.75,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:14.277016,2.111849,10.1,0.0,61974.078125,51.1,64117.4375,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:14.381446,2.216279,9.9,0.0,61974.078125,51.1,64117.9375,0,0.0,142.3125,deepseek-r1:7b,-1
2025-06-08T14:45:14.486912,2.321745,11.0,0.0,61974.125,51.1,64114.75,0,0.0,142.3125,deepseek-r1:7b,-1
