timestamp,elapsed_time,cpu_percent,gpu_percent,memory_mb,memory_percent,memory_available_mb,gpu_freq_mhz,ollama_cpu_percent,ollama_memory_mb,model,prompt_id
2025-06-08T16:52:16.075334,0.024388,0.0,0.0,60687.78125,50.1,65465.84375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:16.175601,0.124655,0.0,0.0,61229.84375,50.5,64928.234375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:16.280863,0.229917,0.0,0.0,61729.71875,50.8,64422.171875,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:16.386273,0.335327,0.0,0.0,61736.21875,50.8,64422.171875,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:16.488694,0.437748,0.0,0.0,61736.21875,50.8,64422.171875,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:16.594114,0.543168,0.0,0.0,61736.21875,50.8,64422.171875,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:16.697697,0.646751,0.0,0.0,61736.21875,50.8,64422.171875,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:16.803011,0.752065,0.0,0.0,61736.21875,50.8,64422.171875,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:16.907912,0.856966,0.0,0.0,61736.21875,50.8,64422.171875,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.012211,0.961265,0.0,0.0,61736.21875,50.8,64422.171875,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.113596,1.06265,14.4,0.0,61824.5625,50.9,64325.40625,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.216480,1.165534,16.3,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.316882,1.265936,13.9,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.419249,1.368303,11.7,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.524122,1.473176,22.8,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.629424,1.578478,18.6,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.734700,1.683754,22.0,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.839904,1.788958,0.0,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:17.945131,1.894185,0.0,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:18.050497,1.999551,0.0,0.0,61829.609375,50.9,64323.9375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:18.155801,2.104855,14.1,0.0,61899.8125,51.0,64256.265625,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:18.258461,2.207515,14.3,0.0,61899.703125,51.0,64258.359375,0,0.0,147.796875,deepseek-r1:7b,-1
2025-06-08T16:52:20.406445,0.040423,14.4,0.0,61089.4375,50.4,65071.375,0,0.0,147.828125,deepseek-r1:7b,-1
