timestamp,elapsed_time,cpu_percent,gpu_percent,memory_mb,memory_percent,memory_available_mb,gpu_freq_mhz,ollama_cpu_percent,ollama_memory_mb,model,prompt_id
2025-06-08T17:14:51.300612,0.024975,0.0,0.0,60074.484375,49.6,66090.5,0,0.0,148.015625,deepseek-r1:7b,-1
2025-06-08T17:14:51.403144,0.127507,15.4,0.0,60074.484375,49.6,66090.5,0,1.2,148.046875,deepseek-r1:7b,-1
2025-06-08T17:14:51.508293,0.232656,15.5,0.0,60074.484375,49.6,66090.5,0,1.4,148.109375,deepseek-r1:7b,-1
2025-06-08T17:14:51.613679,0.338042,17.1,0.0,60074.484375,49.6,66090.5,0,0.7,148.125,deepseek-r1:7b,-1
2025-06-08T17:14:51.718886,0.443249,14.5,0.0,60074.484375,49.6,66090.5,0,0.7,148.171875,deepseek-r1:7b,-1
2025-06-08T17:14:51.822774,0.547137,17.9,0.0,60074.484375,49.6,66090.5,0,0.2,148.171875,deepseek-r1:7b,-1
2025-06-08T17:14:51.925898,0.650261,16.4,0.0,60074.484375,49.6,66090.5,0,1.9,148.234375,deepseek-r1:7b,-1
2025-06-08T17:14:52.026770,0.751133,14.6,0.0,60074.484375,49.6,66090.5,0,0.5,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.130502,0.854865,0.0,0.0,60074.484375,49.6,66090.5,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.235682,0.960045,0.0,0.0,60074.484375,49.6,66090.5,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.340634,1.064997,14.4,0.0,61956.34375,51.0,64211.40625,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.445791,1.170154,8.9,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.550259,1.274622,11.4,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.654498,1.378861,0.0,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.756267,1.48063,0.0,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.858048,1.582411,0.0,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:52.958554,1.682917,0.0,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.061462,1.785825,0.0,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.166808,1.891171,0.0,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.271929,1.996292,0.0,0.0,61956.25,51.0,64212.171875,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.372996,2.097359,13.0,0.0,61950.15625,51.0,64216.125,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.477964,2.202327,11.8,0.0,61950.15625,51.0,64216.125,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.578458,2.302821,12.4,0.0,61950.15625,51.0,64216.125,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.683803,2.408166,11.4,0.0,61950.15625,51.0,64216.125,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.789277,2.51364,0.0,0.0,61950.15625,51.0,64216.125,0,0.0,148.25,deepseek-r1:7b,-1
2025-06-08T17:14:53.891957,2.61632,0.0,0.0,61950.15625,51.0,64216.125,0,0.0,148.25,deepseek-r1:7b,-1
